poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
en1am,en1am,tweet,thu dec 01 07:40:45 +0000 2016,804228729690095616,‘game of thrones’ might’ve confirmed that... https://t.co/xyujjw6fbz #gameofthrones,['gameofthrones'],False
michwern,afcbournemouth,mentions,thu dec 01 07:49:24 +0000 2016,804230906517090305,it's december!!!! @afcbournemouth https://t.co/0iziysirrz,[],False
twdlannister,_thexd0gfather_,mentions,thu dec 01 08:05:12 +0000 2016,804234882721443840,"rt @_thexd0gfather_: 🍀ＲＥＴＷＥＥＴ

🍀ＩＦ

🍀ＹＯＵ

🍀ＦＯＬＬＯＷＢＡＣＫ 

🍀#mgwv

🍀#followtrick

🍀#teamfollowback

🍀#anotherfollowtrain

🍀#follow ☜~( ●̮̃•)~☞…","['mgwv', 'followtrick', 'teamfollowback', 'anotherfollowtrain', 'follow']",True
twdlannister,__xm_g_w_vx__,mentions,thu dec 01 08:05:55 +0000 2016,804235063101714432,"rt @__xm_g_w_vx__: ⚡️ＲＥＴＷＥＥＴ

⚡️ＩＦ

⚡️ＹＯＵ

⚡️ＦＯＬＬＯＷＢＡＣＫ

⚡️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@bradenclendenin
@shfly43234
@mgwv1oo
@flirtytumbir
@jeast2700",[],True
twdlannister,bradenclendenin,mentions,thu dec 01 08:05:55 +0000 2016,804235063101714432,"rt @__xm_g_w_vx__: ⚡️ＲＥＴＷＥＥＴ

⚡️ＩＦ

⚡️ＹＯＵ

⚡️ＦＯＬＬＯＷＢＡＣＫ

⚡️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@bradenclendenin
@shfly43234
@mgwv1oo
@flirtytumbir
@jeast2700",[],True
twdlannister,shfly43234,mentions,thu dec 01 08:05:55 +0000 2016,804235063101714432,"rt @__xm_g_w_vx__: ⚡️ＲＥＴＷＥＥＴ

⚡️ＩＦ

⚡️ＹＯＵ

⚡️ＦＯＬＬＯＷＢＡＣＫ

⚡️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@bradenclendenin
@shfly43234
@mgwv1oo
@flirtytumbir
@jeast2700",[],True
twdlannister,mgwv1oo,mentions,thu dec 01 08:05:55 +0000 2016,804235063101714432,"rt @__xm_g_w_vx__: ⚡️ＲＥＴＷＥＥＴ

⚡️ＩＦ

⚡️ＹＯＵ

⚡️ＦＯＬＬＯＷＢＡＣＫ

⚡️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@bradenclendenin
@shfly43234
@mgwv1oo
@flirtytumbir
@jeast2700",[],True
twdlannister,flirtytumbir,mentions,thu dec 01 08:05:55 +0000 2016,804235063101714432,"rt @__xm_g_w_vx__: ⚡️ＲＥＴＷＥＥＴ

⚡️ＩＦ

⚡️ＹＯＵ

⚡️ＦＯＬＬＯＷＢＡＣＫ

⚡️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@bradenclendenin
@shfly43234
@mgwv1oo
@flirtytumbir
@jeast2700",[],True
twdlannister,jeast2700,mentions,thu dec 01 08:05:55 +0000 2016,804235063101714432,"rt @__xm_g_w_vx__: ⚡️ＲＥＴＷＥＥＴ

⚡️ＩＦ

⚡️ＹＯＵ

⚡️ＦＯＬＬＯＷＢＡＣＫ

⚡️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@bradenclendenin
@shfly43234
@mgwv1oo
@flirtytumbir
@jeast2700",[],True
evangelina2502,evangelina2502,tweet,thu dec 01 08:17:16 +0000 2016,804237919401705472,Я возвращаюсь в своё любимое логово,[],False
