poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
wogibogii,toksolagundoye,mentions,mon feb 01 07:31:26 +0000 2016,694060473948508160,"rt @toksolagundoye: gosh, i really can't remember off the top of my head...but you know i wouldn't say even if i remembered😬#spoilerfree ht…",['spoilerfree'],True
mustang_larry_,mustang_larry_,tweet,mon feb 01 07:33:22 +0000 2016,694060960479318017,"Доброе утро, лента",[],False
night_wing_,guglepta,mentions,mon feb 01 07:36:31 +0000 2016,694061753194405888,rt @guglepta: как быть спокойным если клетки нервные,[],True
ikaran3112,lordsnow,mentions,mon feb 01 07:37:02 +0000 2016,694061883196702720,rt @lordsnow: kit harington and rose leslie are still going strong! https://t.co/ij5x1wvfa1,[],True
xgameofthrones,xgameofthrones,tweet,mon feb 01 07:38:21 +0000 2016,694062214551093248,#ki harington &amp;  #roseleslie dating: timeline of the 'game of thrones' romance - morning ledger - morning ledger https://t.co/qez6s1qfaj,"['ki', 'roseleslie']",False
nelbare62,cyberchwirrer,mentions,mon feb 01 07:40:04 +0000 2016,694062646564229120,"rt @cyberchwirrer: jochard for avoncherish
#avonph https://t.co/kypq1cm3ia",['avonph'],True
sherlock_violin,underdog_hatiko,mentions,mon feb 01 07:46:48 +0000 2016,694064341096742912,"rt @underdog_hatiko: @sherlock_violin спокойной ночи, хорошо отдохнуть с:",[],True
sherlock_violin,sherlock_violin,mentions,mon feb 01 07:46:48 +0000 2016,694064341096742912,"rt @underdog_hatiko: @sherlock_violin спокойной ночи, хорошо отдохнуть с:",[],True
nreedusv,sinner__god,reply,mon feb 01 07:53:57 +0000 2016,694066140432187392,"@sinner__god конечно, безусловно,  не сомневайся.",[],False
bringmemcr,bringmemcr,tweet,mon feb 01 07:56:02 +0000 2016,694066664715993089,"На физре смгшников заставили сидеть в зале, и в итоге меня чуть мячом не убили. 
Подавать вообще не умеют.",[],False
ziadd_1,tvguiide,mentions,mon feb 01 08:31:06 +0000 2016,694075489523240960,rt @tvguiide: 84 يوم تحديداً من الآن على عودة مسلسل #gameofthrones بموسمه السادس ! https://t.co/aadzufqfhf,['gameofthrones'],True
ajhoo21,venuzklein,mentions,mon feb 01 08:35:46 +0000 2016,694076663957573632,"rt @venuzklein: salamat po ulet...buti p c avin d hopia haha...

jochard for avoncherish https://t.co/afx4vurwtx",[],True
reginaromrom,everybodyliesks,mentions,mon feb 01 09:20:51 +0000 2016,694088009537470464,"rt @everybodyliesks: меня успокаивают котики и собачки, всё остальное меня напрягает. 
так что если вы не котик и не собачка, съебитесь.",[],True
stampsirivipa,kapookdotcom,mentions,mon feb 01 09:37:51 +0000 2016,694092287719026690,"rt @kapookdotcom: จอน สโนว์ ควงคู่ อีกริต สวีทนอกจอ #gameofthrones #movietwit
https://t.co/sfosbgebdj https://t.co/zgdpcew6q9","['gameofthrones', 'movietwit']",True
solramirez__,untextual,mentions,mon feb 01 09:38:23 +0000 2016,694092421932670977,"rt @untextual: si cuando me mandas whatsapp sonrío, imagínate cuando te veo.",[],True
masterropuppets,truevanda,mentions,mon feb 01 09:38:54 +0000 2016,694092551947751424,"rt @truevanda: Луи: *в подарок Гарри сливает видео с Саймоном*
Луи:

#ohnosimon 
#top50fansonedirection https://t.co/tokk4n6d3d","['ohnosimon', 'top50fansonedirection']",True
masterropuppets,hazzasaymeow,mentions,mon feb 01 09:41:13 +0000 2016,694093134955991040,"rt @hazzasaymeow: не хочу чтобы он больше рос
может ли он навсегда остаться маленьким счастливым кексиком? #happybirthdayharrystyles https:…",['happybirthdayharrystyles'],True
xjustinvojce,fox_potterhead,mentions,mon feb 01 09:47:20 +0000 2016,694094674269736960,"rt @fox_potterhead: 😂😂😂😂 effettivamente...😱😱😱😅 maledetto ragazzino! 

#gameofthrones #telefilmaddicted 
#got #jonsnow #kitharington ♡♡♡ htt…","['gameofthrones', 'telefilmaddicted', 'got', 'jonsnow', 'kitharington']",True
f_hetlr12,isulltan__,mentions,mon feb 01 09:57:14 +0000 2016,694097165686325248,rt @isulltan__: عازفون هواه باحد محطات الميترو باسطنبول يعزفون موسيقى الثرونز 🎶 https://t.co/rwtrwrnt0i,[],True
angry_swagggey,_ywnf,reply,mon feb 01 10:00:53 +0000 2016,694098084268265472,@_ywnf @skatbumakkn https://t.co/wvd8aqf4ur,[],False
angry_swagggey,skatbumakkn,mentions,mon feb 01 10:00:53 +0000 2016,694098084268265472,@_ywnf @skatbumakkn https://t.co/wvd8aqf4ur,[],False
craigross_,skyatlantic,mentions,mon feb 01 10:09:26 +0000 2016,694100235925221376,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
craigross_,jimwhite,mentions,mon feb 01 10:09:26 +0000 2016,694100235925221376,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
nati_soledad89,nati_soledad89,tweet,mon feb 01 10:10:09 +0000 2016,694100416276074496,#nomealcanza soy docente y no cobro hace 3 meses... sin palabras,['nomealcanza'],False
kemaonline,kemaonline,tweet,mon feb 01 10:14:07 +0000 2016,694101414537216000,"Хоть она и красивая, но плохая плохая девочка
©Моя племянница",[],False
mr_samspencer,billytanner86,reply,mon feb 01 10:24:17 +0000 2016,694103973075238916,@billytanner86  https://t.co/b7vzzlhkgs,[],False
crazymegalodon,skyatlantic,mentions,mon feb 01 10:27:58 +0000 2016,694104900008046592,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
crazymegalodon,jimwhite,mentions,mon feb 01 10:27:58 +0000 2016,694104900008046592,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
qmst95,minminnay,mentions,mon feb 01 10:34:24 +0000 2016,694106519009267712,"rt @minminnay: [eng sub] hd super junior ss6 seoul dvd 100th concert making

เห็นแล้วคิดถึงพี่ชิ้น ออกแบบโชว์ได้ดีจริงๆ 👍 https://t.co/qoao…",[],True
lazybananaa,philousports,mentions,mon feb 01 10:47:41 +0000 2016,694109861861261312,"rt @philousports: -bon match, desolé pour le petit pont
-bon match, desolé pour le petit pont
-bon match, desolé pour le petit pont https:/…",[],True
lisa_alisa19,milkyyywaaay,reply,mon feb 01 10:52:01 +0000 2016,694110952367771649,"@milkyyywaaay о, испытательный срок сколько?",[],False
uniartslondon,uniartslondon,tweet,mon feb 01 10:53:05 +0000 2016,694111220828377088,congrats to #ual alumna #tomhardy and #gameofthrones stars #emiliaclarke #gwendolinechristie for #sagawards https://t.co/7nxjuy1sak,"['ual', 'tomhardy', 'gameofthrones', 'emiliaclarke', 'gwendolinechristie', 'sagawards']",False
__lanabanana_,lexasreyes,mentions,mon feb 01 10:57:49 +0000 2016,694112412002324480,"rt @lexasreyes: please be nice to her, she is very tiny and sad https://t.co/qzikg9kw3w",[],True
variety,variety,tweet,mon feb 01 11:02:02 +0000 2016,694113473144320000,#gameofthrones and #oitnb stars banded together at a #sagawards after party https://t.co/vlknyhgzqe https://t.co/5pnyt1ar3t,"['gameofthrones', 'oitnb', 'sagawards']",False
eucalyptus0822,eucalyptus0822,tweet,mon feb 01 11:10:18 +0000 2016,694115553535918080,あー😩ストーブが嫌い。暑くなり過ぎるし、空気も汚れる。空気の入れ換えばかりするので家族が怒る🙄,[],False
sparagorn60,humourdefdpoff,mentions,mon feb 01 11:17:29 +0000 2016,694117361268449280,rt @humourdefdpoff: je tombe comme sa je fais le mort jusqu'à ma mort mdrrr j'en peut plus https://t.co/go5tbt0eks,[],True
pjcny,queenmoon21,mentions,mon feb 01 11:22:16 +0000 2016,694118565033672704,"rt @queenmoon21: За его неповторимый смех
#22thingsweloveaboutharry",['22thingsweloveaboutharry'],True
masterropuppets,karamergenova14,mentions,mon feb 01 11:23:56 +0000 2016,694118984476692480,"rt @karamergenova14: ты видишь ту тихую девочку в классе

а у неё косари фолловеров в твиттере и она пишет про вас всех https://t.co/bguifc…",[],True
vesyusha,o1zencicaps,reply,mon feb 01 11:24:22 +0000 2016,694119093536972800,@o1zencicaps pembe sac yakisirdi sana aslında :d,[],False
1ive1ove1earn,variety,mentions,mon feb 01 11:24:52 +0000 2016,694119219361746944,rt @variety: #gameofthrones and #oitnb stars banded together at a #sagawards after party https://t.co/vlknyhgzqe https://t.co/5pnyt1ar3t,"['gameofthrones', 'oitnb', 'sagawards']",True
alexandr22839,teodornight,mentions,mon feb 01 11:24:57 +0000 2016,694119240329207808,rt @teodornight: А вообще всех с Имболком. https://t.co/xxt5uhbqrs,[],True
pawankumar_in,pawankumar_in,tweet,mon feb 01 11:30:23 +0000 2016,694120607659601924,"mahindra sales surge 9.6% in january: mahindra &amp; mahindra on monday reported a 9.66 per cent increase in total sales at 43,789 vehicl...",[],False
dlteresa,minorunit,mentions,mon feb 01 11:39:38 +0000 2016,694122935494189056,rt @minorunit: ??? 글 https://t.co/9ymhvhkvhy,[],True
smilescully_,hailmo,reply,mon feb 01 11:43:42 +0000 2016,694123958904365056,@hailmo i know dr faraday from quagmire 😂😂😂,[],False
tezzer1985,guillembalague,mentions,mon feb 01 11:44:16 +0000 2016,694124101506580480,"rt @guillembalague: rubbish story of the day: the rumours about mata. he is staying put, doesn't want to go, united don't want to sell at a…",[],True
tookykooky,timelorddwl,reply,mon feb 01 11:45:23 +0000 2016,694124382537539584,"@timelorddwl жесть(((
Ну тогда дозу уменьш чтоле(",[],False
rayan_khaleed,hammus1,mentions,mon feb 01 11:53:51 +0000 2016,694126513260752897,"rt @hammus1: للمعلومية هذا هو موقع تصوير كينجز لاندينق kings landing 
#got #gameofthrones https://t.co/l5sccamiow","['got', 'gameofthrones']",True
topbom_is_real,cliqqque,mentions,mon feb 01 11:57:23 +0000 2016,694127402444820481,rt @cliqqque: Вкратце о любой серии shameless: https://t.co/hqoqtqt08w,[],True
kirstein_96,32vjqofa,mentions,mon feb 01 11:58:29 +0000 2016,694127679247929344,"rt @32vjqofa: — экспекто патронум!
— круциатус!
— экспеллиармус! 
— авада кадавра! 
— давайте зачётку!",[],True
supercat939,turned_to_black,mentions,mon feb 01 11:59:49 +0000 2016,694128014813237248,rt @turned_to_black: Картинка для @supercat939 https://t.co/kg3nuapqsw,[],True
supercat939,supercat939,mentions,mon feb 01 11:59:49 +0000 2016,694128014813237248,rt @turned_to_black: Картинка для @supercat939 https://t.co/kg3nuapqsw,[],True
jackcarling_,skyatlantic,mentions,mon feb 01 12:02:44 +0000 2016,694128748808015872,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
jackcarling_,jimwhite,mentions,mon feb 01 12:02:44 +0000 2016,694128748808015872,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
jordan_darras,lordsnow,mentions,mon feb 01 12:03:00 +0000 2016,694128815904276480,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
jordan_darras,jimwhite,mentions,mon feb 01 12:03:00 +0000 2016,694128815904276480,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
steelcityfan0,lordsnow,mentions,mon feb 01 12:05:07 +0000 2016,694129348593364992,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
steelcityfan0,jimwhite,mentions,mon feb 01 12:05:07 +0000 2016,694129348593364992,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
nessxx_phillips,whornystyles,mentions,mon feb 01 12:23:29 +0000 2016,694133970724782082,"rt @whornystyles: what a gentelman harry actually is 
#happybirthdayharrystyles https://t.co/f5gacmgr5b",['happybirthdayharrystyles'],True
gifsofthrones,gifsofthrones,tweet,mon feb 01 12:31:19 +0000 2016,694135942039367680,when you open a pack of gum.... https://t.co/izeqltbcoy,[],False
bono__animo,bono__animo,tweet,mon feb 01 12:38:26 +0000 2016,694137733011378176,"Главное перетерпеть завтрашний день, ибо придётся идти на экг, а там уже сидя дома будет легко отсидеть",[],False
hanko9,arrowtvf,mentions,mon feb 01 13:02:19 +0000 2016,694143743453216768,rt @arrowtvf: arrow photo preview: look who's back and suited up! @cw_arrow #arrow https://t.co/kgye4tsqsr,['arrow'],True
hanko9,cw_arrow,mentions,mon feb 01 13:02:19 +0000 2016,694143743453216768,rt @arrowtvf: arrow photo preview: look who's back and suited up! @cw_arrow #arrow https://t.co/kgye4tsqsr,['arrow'],True
hijode_lugo,horacio_cartes,reply,mon feb 01 13:04:07 +0000 2016,694144196421271552,"que grande @horacio_cartes 
no hagas caso a los pobres...
fuerza pdte!!!",[],False
anna_raeken,eliswerecoyote,mentions,mon feb 01 13:05:11 +0000 2016,694144464856707072,rt @eliswerecoyote: Для @anna_raeken ✨💫💜 https://t.co/a0tlan2sa1,[],True
anna_raeken,anna_raeken,mentions,mon feb 01 13:05:11 +0000 2016,694144464856707072,rt @eliswerecoyote: Для @anna_raeken ✨💫💜 https://t.co/a0tlan2sa1,[],True
bethan_downing,skyatlantic,mentions,mon feb 01 13:12:43 +0000 2016,694146360694706177,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
bethan_downing,jimwhite,mentions,mon feb 01 13:12:43 +0000 2016,694146360694706177,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
snstaylovskaya,nastya_1_d,mentions,mon feb 01 13:17:35 +0000 2016,694147585444057088,"rt @nastya_1_d: до др гарольда я дожил
осталось дожить до собственного др
а там до конца учебного года
пережить экзамены
сдохну крч
 #top50…",['top50fansonedirection'],True
webspelunker,webspelunker,tweet,mon feb 01 13:20:31 +0000 2016,694148323612233728,#gameofthrones in #secondlife visit #casterlyrock #castle #blogpost for story &amp; pix https://t.co/j2b0cbnhcw https://t.co/nchnm78j29 l,"['gameofthrones', 'secondlife', 'casterlyrock', 'castle', 'blogpost']",False
befourlexa,rexminaku,mentions,mon feb 01 13:21:26 +0000 2016,694148554298781696,rt @rexminaku: lexa and monty (i think) https://t.co/ols8naflhi,[],True
laurafr0_,laurafr0_,tweet,mon feb 01 13:23:08 +0000 2016,694148982138806273,don't judge me until you know me. don't underestimate me until you challenge me. and don't talk about me until you talk to me.,[],False
popa__gopa,tookykooky,mentions,mon feb 01 13:25:26 +0000 2016,694149560944435200,rt @tookykooky: настроение: Наташа Ранетка https://t.co/6vyye8f7es,[],True
mizinchik_,lanka_og,reply,mon feb 01 13:28:46 +0000 2016,694150399801061380,@lanka_og Нет(,[],False
jones_jessica1,rexminaku,mentions,mon feb 01 13:31:26 +0000 2016,694151070902308864,rt @rexminaku: lexa and jasper https://t.co/ukqqg6k2xr,[],True
harrymi39229682,lordsnow,mentions,mon feb 01 13:38:23 +0000 2016,694152819910270977,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
harrymi39229682,jimwhite,mentions,mon feb 01 13:38:23 +0000 2016,694152819910270977,rt @lordsnow: here's @jimwhite's game of thrones themed #deadlineday https://t.co/tucz7o40mj,['deadlineday'],True
natibelmania,rexminaku,mentions,mon feb 01 13:39:08 +0000 2016,694153008674922496,rt @rexminaku: lexa and jasper https://t.co/ukqqg6k2xr,[],True
iamhumes_,skyatlantic,mentions,mon feb 01 13:50:05 +0000 2016,694155764315873281,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
iamhumes_,jimwhite,mentions,mon feb 01 13:50:05 +0000 2016,694155764315873281,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
sean_pitt,skyatlantic,mentions,mon feb 01 14:00:26 +0000 2016,694158368982827008,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
sean_pitt,jimwhite,mentions,mon feb 01 14:00:26 +0000 2016,694158368982827008,"rt @skyatlantic: the window’s open and rumours are flying. what next for #gameofthrones? here’s @jimwhite. (spoilers!) #deadlineday
https:/…","['gameofthrones', 'deadlineday']",True
zeeliboba,zeeliboba,tweet,mon feb 01 14:04:21 +0000 2016,694159354648477697,блин.котик брата умер..а я ведь к нему ездила только из-за мурлыки. очень жаль терять питомца 😟,[],False
morbidbeast,morbidbeast,tweet,mon feb 01 14:06:41 +0000 2016,694159941842657285,"мило, чо.",[],False
unicorn6666666,allison_green_,mentions,mon feb 01 14:08:43 +0000 2016,694160453535137795,rt @allison_green_: #ХувианыЗахватятВселенную https://t.co/hcuirbujnl,['ХувианыЗахватятВселенную'],True
