,date,positive,neutral,negative,year,month
0,2016-01-01,7.0,14.0,2.0,2016,1
1,2016-01-02,20.0,37.0,12.0,2016,1
2,2016-01-03,10.0,24.0,5.0,2016,1
3,2016-01-04,9.0,27.0,9.0,2016,1
4,2016-01-05,3.0,15.0,4.0,2016,1
5,2016-01-06,18.0,30.0,5.0,2016,1
6,2016-01-07,12.0,31.0,7.0,2016,1
7,2016-01-08,18.0,97.0,4.0,2016,1
8,2016-01-09,13.0,23.0,4.0,2016,1
9,2016-01-10,4.0,10.0,3.0,2016,1
10,2016-01-11,17.0,23.0,12.0,2016,1
11,2016-01-12,12.0,23.0,2.0,2016,1
12,2016-01-13,13.0,23.0,6.0,2016,1
13,2016-01-14,9.0,16.0,3.0,2016,1
14,2016-01-15,30.0,26.0,5.0,2016,1
15,2016-01-16,7.0,17.0,5.0,2016,1
16,2016-01-17,8.0,24.0,5.0,2016,1
17,2016-01-18,19.0,29.0,6.0,2016,1
18,2016-01-19,11.0,25.0,2.0,2016,1
19,2016-01-20,8.0,30.0,4.0,2016,1
20,2016-01-21,5.0,19.0,5.0,2016,1
21,2016-01-22,33.0,697.0,18.0,2016,1
22,2016-01-23,6.0,282.0,16.0,2016,1
23,2016-01-24,6.0,106.0,11.0,2016,1
24,2016-01-25,5.0,51.0,6.0,2016,1
25,2016-01-26,8.0,27.0,3.0,2016,1
26,2016-01-27,8.0,23.0,5.0,2016,1
27,2016-01-28,11.0,22.0,13.0,2016,1
28,2016-01-29,10.0,16.0,3.0,2016,1
29,2016-01-30,3.0,19.0,5.0,2016,1
30,2016-01-31,15.0,29.0,3.0,2016,1
31,2016-02-01,8.0,47.0,8.0,2016,2
32,2016-02-02,6.0,21.0,9.0,2016,2
33,2016-02-03,7.0,19.0,1.0,2016,2
34,2016-02-04,8.0,17.0,3.0,2016,2
35,2016-02-05,10.0,27.0,2.0,2016,2
36,2016-02-06,6.0,17.0,4.0,2016,2
37,2016-02-07,4.0,7.0,3.0,2016,2
38,2016-02-08,5.0,18.0,5.0,2016,2
39,2016-02-09,17.0,20.0,6.0,2016,2
40,2016-02-10,4.0,4.0,6.0,2016,2
41,2016-02-11,4.0,4.0,6.0,2016,2
42,2016-02-12,4.0,4.0,6.0,2016,2
43,2016-02-13,4.0,4.0,6.0,2016,2
44,2016-02-14,11.0,26.0,32.0,2016,2
45,2016-02-15,20.0,253.0,51.0,2016,2
46,2016-02-16,16.0,63.0,18.0,2016,2
47,2016-02-17,12.0,36.0,7.0,2016,2
48,2016-02-18,18.0,40.0,5.0,2016,2
49,2016-02-19,17.0,35.0,9.0,2016,2
50,2016-02-20,11.0,22.0,6.0,2016,2
51,2016-02-21,21.0,27.0,6.0,2016,2
52,2016-02-22,20.0,24.0,2.0,2016,2
53,2016-02-23,5.0,28.0,8.0,2016,2
54,2016-02-24,79.0,273.0,51.0,2016,2
55,2016-02-25,49.0,58.0,12.0,2016,2
56,2016-02-26,11.0,23.0,8.0,2016,2
57,2016-02-27,2.0,9.0,8.0,2016,2
58,2016-02-28,2.0,9.0,8.0,2016,2
59,2016-02-29,2.0,9.0,8.0,2016,2
60,2016-03-01,9.0,20.0,8.0,2016,3
61,2016-03-02,5.0,3.0,2.0,2016,3
62,2016-03-03,36.0,39.0,6.0,2016,3
63,2016-03-04,1.0,9.0,6.0,2016,3
64,2016-03-05,1.0,9.0,6.0,2016,3
65,2016-03-06,1.0,9.0,6.0,2016,3
66,2016-03-07,1.0,9.0,6.0,2016,3
67,2016-03-08,52.0,201.0,59.0,2016,3
68,2016-03-09,41.0,103.0,48.0,2016,3
69,2016-03-10,11.0,60.0,18.0,2016,3
70,2016-03-11,18.0,52.0,11.0,2016,3
71,2016-03-12,1.0,13.0,2.0,2016,3
72,2016-03-13,11.0,39.0,6.0,2016,3
73,2016-03-14,20.0,33.0,13.0,2016,3
74,2016-03-15,2.0,4.0,1.0,2016,3
75,2016-03-16,8.0,24.0,11.0,2016,3
76,2016-03-17,20.0,28.0,12.0,2016,3
77,2016-03-18,20.0,43.0,15.0,2016,3
78,2016-03-19,21.0,39.0,11.0,2016,3
79,2016-03-20,15.0,47.0,5.0,2016,3
80,2016-03-21,41.0,42.0,7.0,2016,3
81,2016-03-22,17.0,29.0,25.0,2016,3
82,2016-03-23,3.0,10.0,9.0,2016,3
83,2016-03-24,16.0,29.0,13.0,2016,3
84,2016-03-25,25.0,68.0,3.0,2016,3
85,2016-03-26,49.0,44.0,17.0,2016,3
86,2016-03-27,20.0,52.0,23.0,2016,3
87,2016-03-28,12.0,51.0,14.0,2016,3
88,2016-03-29,35.0,71.0,16.0,2016,3
89,2016-03-30,39.0,79.0,9.0,2016,3
90,2016-03-31,22.0,44.0,11.0,2016,3
91,2016-04-01,37.0,70.0,19.0,2016,4
92,2016-04-02,16.0,39.0,10.0,2016,4
93,2016-04-03,13.0,45.0,12.0,2016,4
94,2016-04-04,27.0,51.0,10.0,2016,4
95,2016-04-05,14.0,52.0,13.0,2016,4
96,2016-04-06,12.0,43.0,4.0,2016,4
97,2016-04-07,31.0,65.0,10.0,2016,4
98,2016-04-08,35.0,83.0,23.0,2016,4
99,2016-04-09,24.0,57.0,9.0,2016,4
100,2016-04-10,42.0,56.0,4.0,2016,4
101,2016-04-11,58.0,395.0,50.0,2016,4
102,2016-04-12,33.0,178.0,25.0,2016,4
103,2016-04-13,31.0,126.0,17.0,2016,4
104,2016-04-14,36.0,86.0,16.0,2016,4
105,2016-04-15,50.0,90.0,10.0,2016,4
106,2016-04-16,32.0,58.0,10.0,2016,4
107,2016-04-17,32.0,100.0,11.0,2016,4
108,2016-04-18,30.0,105.0,19.0,2016,4
109,2016-04-19,29.0,160.0,87.0,2016,4
110,2016-04-20,64.0,193.0,21.0,2016,4
111,2016-04-21,56.0,219.0,51.0,2016,4
112,2016-04-22,63.0,205.0,30.0,2016,4
113,2016-04-23,12.0,51.0,12.0,2016,4
114,2016-04-24,694.0,2125.0,341.0,2016,4
115,2016-04-25,2071.0,6314.0,1526.0,2016,4
116,2016-04-26,254.0,705.0,167.0,2016,4
117,2016-04-27,140.0,289.0,60.0,2016,4
118,2016-04-28,81.0,207.0,33.0,2016,4
119,2016-04-29,60.0,177.0,34.0,2016,4
120,2016-04-30,31.0,112.0,19.0,2016,4
121,2016-05-01,72.0,280.0,37.0,2016,5
122,2016-05-02,654.0,1985.0,358.0,2016,5
123,2016-05-03,204.0,534.0,223.0,2016,5
124,2016-05-04,125.0,280.0,81.0,2016,5
125,2016-05-05,97.0,228.0,58.0,2016,5
126,2016-05-06,73.0,162.0,40.0,2016,5
127,2016-05-07,69.0,136.0,37.0,2016,5
128,2016-05-08,238.0,306.0,49.0,2016,5
129,2016-05-09,766.0,2117.0,538.0,2016,5
130,2016-05-10,159.0,311.0,73.0,2016,5
131,2016-05-11,86.0,228.0,46.0,2016,5
132,2016-05-12,92.0,442.0,30.0,2016,5
133,2016-05-13,49.0,260.0,50.0,2016,5
134,2016-05-14,63.0,219.0,27.0,2016,5
135,2016-05-15,75.0,317.0,67.0,2016,5
136,2016-05-16,1264.0,3171.0,900.0,2016,5
137,2016-05-17,203.0,605.0,135.0,2016,5
138,2016-05-18,117.0,296.0,79.0,2016,5
139,2016-05-19,66.0,217.0,54.0,2016,5
140,2016-05-20,84.0,189.0,69.0,2016,5
141,2016-05-21,64.0,185.0,48.0,2016,5
142,2016-05-22,184.0,525.0,122.0,2016,5
143,2016-05-23,1399.0,4018.0,1724.0,2016,5
144,2016-05-24,272.0,868.0,277.0,2016,5
145,2016-05-25,211.0,373.0,132.0,2016,5
146,2016-05-26,142.0,339.0,122.0,2016,5
147,2016-05-27,82.0,168.0,42.0,2016,5
148,2016-05-28,90.0,230.0,43.0,2016,5
149,2016-05-29,178.0,429.0,79.0,2016,5
150,2016-05-30,738.0,1905.0,603.0,2016,5
151,2016-05-31,154.0,321.0,76.0,2016,5
152,2016-06-01,86.0,257.0,78.0,2016,6
153,2016-06-02,12.0,62.0,19.0,2016,6
154,2016-06-03,82.0,62.0,168.0,2016,6
155,2016-06-04,90.0,62.0,230.0,2016,6
156,2016-06-05,179.0,62.0,429.0,2016,6
157,2016-06-06,739.0,62.0,1905.0,2016,6
158,2016-06-07,33.0,110.0,34.0,2016,6
159,2016-06-08,52.0,149.0,38.0,2016,6
160,2016-06-09,77.0,252.0,66.0,2016,6
161,2016-06-10,56.0,217.0,39.0,2016,6
162,2016-06-11,56.0,160.0,59.0,2016,6
163,2016-06-12,152.0,241.0,60.0,2016,6
164,2016-06-13,712.0,2041.0,654.0,2016,6
165,2016-06-14,146.0,331.0,169.0,2016,6
166,2016-06-15,145.0,220.0,112.0,2016,6
167,2016-06-16,37.0,71.0,41.0,2016,6
168,2016-06-17,3.0,13.0,5.0,2016,6
169,2016-06-18,54.0,217.0,73.0,2016,6
170,2016-06-19,176.0,585.0,315.0,2016,6
171,2016-06-20,2577.0,7390.0,2146.0,2016,6
172,2016-06-21,588.0,982.0,391.0,2016,6
173,2016-06-22,316.0,513.0,161.0,2016,6
174,2016-06-23,199.0,429.0,123.0,2016,6
175,2016-06-24,110.0,371.0,86.0,2016,6
176,2016-06-25,125.0,320.0,113.0,2016,6
177,2016-06-26,189.0,969.0,165.0,2016,6
178,2016-06-27,3384.0,10345.0,2372.0,2016,6
179,2016-06-28,483.0,1415.0,284.0,2016,6
180,2016-06-29,325.0,741.0,141.0,2016,6
181,2016-06-30,248.0,506.0,76.0,2016,6
182,2016-07-01,155.0,381.0,109.0,2016,7
183,2016-07-02,144.0,301.0,63.0,2016,7
184,2016-07-03,132.0,352.0,133.0,2016,7
185,2016-07-04,135.0,338.0,90.0,2016,7
186,2016-07-05,82.0,246.0,53.0,2016,7
187,2016-07-06,119.0,198.0,74.0,2016,7
188,2016-07-07,66.0,193.0,58.0,2016,7
189,2016-07-08,71.0,196.0,31.0,2016,7
190,2016-07-09,50.0,163.0,22.0,2016,7
191,2016-07-10,48.0,163.0,32.0,2016,7
192,2016-07-11,52.0,127.0,43.0,2016,7
193,2016-07-12,51.0,173.0,36.0,2016,7
194,2016-07-13,53.0,184.0,28.0,2016,7
195,2016-07-14,565.0,248.0,38.0,2016,7
