poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
alekss______,nelbka5,mentions,fri jan 01 07:31:55 +0000 2016,682826571724537856,rt @nelbka5: Готова к новому году!) И к Шерлоку #ночьшерлока https://t.co/qbasl5s7xn,['ночьшерлока'],True
lesmaecarino26,thrones_memes,mentions,fri jan 01 07:34:38 +0000 2016,682827255400148992,rt @thrones_memes: happy new year! game of thrones season 6 is coming.,[],True
1di_kit,otradaily,mentions,fri jan 01 07:36:48 +0000 2016,682827800659771392,"rt @otradaily: ""harry and kendall""
""louis and danielle""
""niall and selena""
""zayn and gigi"" 
""liam payne"" 

fandom: https://t.co/xnrupr6d0c",[],True
koala_v_sype,koala_v_sype,tweet,fri jan 01 07:37:54 +0000 2016,682828077483880448,Ну я пошел за хавкой,[],False
__mai__msa,mr_awesome6793,mentions,fri jan 01 07:37:56 +0000 2016,682828085872332800,"rt @mr_awesome6793: the day you stop racing, is the day you win the race.",[],True
pannapat_fon,mini_kabu,mentions,fri jan 01 07:40:12 +0000 2016,682828656289251328,rt @mini_kabu: astrophile (คำนาม) ความหมาย คนที่หลงใหลในความสวยงามของดวงดาว https://t.co/2zcpzhpweb,[],True
meow_meow_bitch,koffboy,mentions,fri jan 01 07:47:27 +0000 2016,682830480811671552,"rt @koffboy: Желаю вам в новом году
1. Получить много денег, не работая
2. Поумнеть, ничего не изучая
3. Любить без боли
4. Есть до отвала …",[],True
praw5160,mini_kabu,mentions,fri jan 01 07:48:32 +0000 2016,682830753453850624,rt @mini_kabu: มาห้องเพื่อน มีแมว 4 ตัว ถ่ายมาได้แค่ตัวเดียว เปอร์เซียอีก 3 ตัว อยู่ไม่เฉยเลย วิ่งรอบห้อง https://t.co/6fx0b2zity,[],True
khalisi389,khalisi389,tweet,fri jan 01 07:52:59 +0000 2016,682831873328812032,"happy new years
Новый Год прошел-отпадно!!! https://t.co/y1cg5wbtyh",[],False
superhogwarts,wikhoran,reply,fri jan 01 07:53:03 +0000 2016,682831890102009856,@wikhoran 😘,[],False
jeff_dunhill,uberfacts,mentions,fri jan 01 07:53:08 +0000 2016,682831911060922368,"rt @uberfacts: the ceo and co-founder of uber, travis kalanick, had the second highest wii tennis ranking in the world at one point.",[],True
tamalerin,un_economista,mentions,fri jan 01 07:53:29 +0000 2016,682831999149731840,rt @un_economista: jajajajajajaja. https://t.co/8mcraynifm,[],True
mtmiint,mini_kabu,mentions,fri jan 01 08:06:35 +0000 2016,682835295864160256,rt @mini_kabu: มาห้องเพื่อน มีแมว 4 ตัว ถ่ายมาได้แค่ตัวเดียว เปอร์เซียอีก 3 ตัว อยู่ไม่เฉยเลย วิ่งรอบห้อง https://t.co/6fx0b2zity,[],True
gerard_frank_20,fluffy_genry,mentions,fri jan 01 08:06:41 +0000 2016,682835321034244096,rt @fluffy_genry: Я вчера ждала 00:00 не только ради НГ ну и ради восстановления трафика на телефоне с::,[],True
ms5ae,sincerelytumblr,mentions,fri jan 01 08:24:13 +0000 2016,682839733471473665,rt @sincerelytumblr: annnnnnnnd... there we go. all fixed. https://t.co/gbswvfck5i,[],True
tabaguay,jetrock9,mentions,fri jan 01 08:31:05 +0000 2016,682841461528764416,"rt @jetrock9: กูฮาพี่เบียร์กับพี่เฟิร์น555555555
#thechoicethailand #เลือกได้ให้เดต
#bodyslam http://t.co/7y6nzq1yhr","['thechoicethailand', 'เลือกได้ให้เดต', 'bodyslam']",True
eucalyptus0822,alexandra7747,mentions,fri jan 01 08:35:51 +0000 2016,682842661061955584,rt @alexandra7747: @hemoglobo good morning david happy new year all the best for 2016 my little brother 🍾🎉🍸 https://t.co/d8vqp5sc2h,[],True
eucalyptus0822,hemoglobo,mentions,fri jan 01 08:35:51 +0000 2016,682842661061955584,rt @alexandra7747: @hemoglobo good morning david happy new year all the best for 2016 my little brother 🍾🎉🍸 https://t.co/d8vqp5sc2h,[],True
paintxtnp,mini_kabu,mentions,fri jan 01 08:41:02 +0000 2016,682843965503082496,rt @mini_kabu: sweet monster cheesey &amp; caramel monster ice cream ราคา 125 บาท ใช้ galaxy gift เหลือ 89 บาท @aroii #อร่อยบอกต่อ https://t.co…,['อร่อยบอกต่อ'],True
paintxtnp,aroii,mentions,fri jan 01 08:41:02 +0000 2016,682843965503082496,rt @mini_kabu: sweet monster cheesey &amp; caramel monster ice cream ราคา 125 บาท ใช้ galaxy gift เหลือ 89 บาท @aroii #อร่อยบอกต่อ https://t.co…,['อร่อยบอกต่อ'],True
daydreamer_hoho,katarina1204,reply,fri jan 01 08:41:57 +0000 2016,682844196215123969,"@katarina1204 @reeeeeckless @irina_navy @gagaadelrey спасибо, дорогая 😍 с наступившим тебя еще раз с:",[],False
daydreamer_hoho,reeeeeckless,mentions,fri jan 01 08:41:57 +0000 2016,682844196215123969,"@katarina1204 @reeeeeckless @irina_navy @gagaadelrey спасибо, дорогая 😍 с наступившим тебя еще раз с:",[],False
daydreamer_hoho,irina_navy,mentions,fri jan 01 08:41:57 +0000 2016,682844196215123969,"@katarina1204 @reeeeeckless @irina_navy @gagaadelrey спасибо, дорогая 😍 с наступившим тебя еще раз с:",[],False
daydreamer_hoho,gagaadelrey,mentions,fri jan 01 08:41:57 +0000 2016,682844196215123969,"@katarina1204 @reeeeeckless @irina_navy @gagaadelrey спасибо, дорогая 😍 с наступившим тебя еще раз с:",[],False
realist12345673,die____666,mentions,fri jan 01 08:44:28 +0000 2016,682844829533999104,rt @die____666: @realist12345673 ниха ты соска😍,[],True
realist12345673,realist12345673,mentions,fri jan 01 08:44:28 +0000 2016,682844829533999104,rt @die____666: @realist12345673 ниха ты соска😍,[],True
sorayabelkaceme,doppelvision,mentions,fri jan 01 08:44:34 +0000 2016,682844854716596224,rt @doppelvision: #bestofpaulwesley2015 i wasn't ready for this ... 😢 https://t.co/r0zazbxq1d,['bestofpaulwesley2015'],True
destr_oya,destr_oya,tweet,fri jan 01 08:47:52 +0000 2016,682845685159444480,"my week on twitter: 3 mentions, 1.99k mention reach. how's your audience growing? via https://t.co/kainykgtgf",[],False
portomanda,salixele,reply,fri jan 01 08:48:14 +0000 2016,682845777442541568,@salixele blyat,[],False
gashenko_anna,miss_uporotost,mentions,fri jan 01 08:54:55 +0000 2016,682847459375210496,"как шикарно когда Вы с лучшей подругой все о друг друге знаете
и угадываете с подарками @miss_uporotost",[],False
portomanda,salixele,reply,fri jan 01 09:00:33 +0000 2016,682848877037383681,@salixele СТОЙ АРИНА СТОЙ,[],False
turkey_twd,yabancidizilert,mentions,fri jan 01 09:02:04 +0000 2016,682849258714886144,"rt @yabancidizilert: Çeyrek final 2. grup
#gameofthrones #supernatural #thewalkingdead","['gameofthrones', 'supernatural', 'thewalkingdead']",True
