poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
ozgurc_,0smanlisporfk,mentions,tue nov 01 06:50:00 +0000 2016,793344322057998336,rt @0smanlisporfk: Şahi toplarımız kan oldu tayfuuuuuun...,[],True
valerkafrnk,chebypela,mentions,tue nov 01 06:52:08 +0000 2016,793344858937237504,"rt @chebypela: ретвит , если уебан по жизни",[],True
aru1466,_mr_unicorn,mentions,tue nov 01 06:57:22 +0000 2016,793346175931908096,"rt @_mr_unicorn: king &amp; queen
https://t.co/ypropilao3",[],True
doa4tografi,doa4tografi,tweet,tue nov 01 07:13:56 +0000 2016,793350345070112768,"everytime i look into ur eyes , i smile and i knw u are mine... #djbj2016 #gameofthrones… https://t.co/7lywaukyca","['djbj2016', 'gameofthrones']",False
brig_97,brig_97,tweet,tue nov 01 07:15:34 +0000 2016,793350756124557313,jó reggelt🙂,[],False
qweencersei,qweencersei,tweet,tue nov 01 07:21:55 +0000 2016,793352354162733060,i stan way too many female singers this is so not ok i will choke from it one day,[],False
twdlannister,xxxxm_g_w_vxxxx,mentions,tue nov 01 07:36:07 +0000 2016,793355927718137856,"rt @xxxxm_g_w_vxxxx: ⭐️ＲＥＴＷＥＥＴ

⭐️ＩＦ

⭐️ＹＯＵ

⭐️ＦＯＬＬＯＷＢＡＣＫ

⭐️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@211reserve_bsc
@xbt88
@king_jayzamir
@jeremi_k
@abrar8442",[],True
twdlannister,211reserve_bsc,mentions,tue nov 01 07:36:07 +0000 2016,793355927718137856,"rt @xxxxm_g_w_vxxxx: ⭐️ＲＥＴＷＥＥＴ

⭐️ＩＦ

⭐️ＹＯＵ

⭐️ＦＯＬＬＯＷＢＡＣＫ

⭐️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@211reserve_bsc
@xbt88
@king_jayzamir
@jeremi_k
@abrar8442",[],True
twdlannister,xbt88,mentions,tue nov 01 07:36:07 +0000 2016,793355927718137856,"rt @xxxxm_g_w_vxxxx: ⭐️ＲＥＴＷＥＥＴ

⭐️ＩＦ

⭐️ＹＯＵ

⭐️ＦＯＬＬＯＷＢＡＣＫ

⭐️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@211reserve_bsc
@xbt88
@king_jayzamir
@jeremi_k
@abrar8442",[],True
twdlannister,king_jayzamir,mentions,tue nov 01 07:36:07 +0000 2016,793355927718137856,"rt @xxxxm_g_w_vxxxx: ⭐️ＲＥＴＷＥＥＴ

⭐️ＩＦ

⭐️ＹＯＵ

⭐️ＦＯＬＬＯＷＢＡＣＫ

⭐️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@211reserve_bsc
@xbt88
@king_jayzamir
@jeremi_k
@abrar8442",[],True
twdlannister,jeremi_k,mentions,tue nov 01 07:36:07 +0000 2016,793355927718137856,"rt @xxxxm_g_w_vxxxx: ⭐️ＲＥＴＷＥＥＴ

⭐️ＩＦ

⭐️ＹＯＵ

⭐️ＦＯＬＬＯＷＢＡＣＫ

⭐️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@211reserve_bsc
@xbt88
@king_jayzamir
@jeremi_k
@abrar8442",[],True
twdlannister,abrar8442,mentions,tue nov 01 07:36:07 +0000 2016,793355927718137856,"rt @xxxxm_g_w_vxxxx: ⭐️ＲＥＴＷＥＥＴ

⭐️ＩＦ

⭐️ＹＯＵ

⭐️ＦＯＬＬＯＷＢＡＣＫ

⭐️#ＭＧＷＶ

⇩ＦＯＬＬＯＷ⇩

@211reserve_bsc
@xbt88
@king_jayzamir
@jeremi_k
@abrar8442",[],True
twdlannister,xxxxm_g_w_vxxxx,mentions,tue nov 01 07:37:47 +0000 2016,793356347123306496,"rt @xxxxm_g_w_vxxxx: [♠️]]]] #retweet

[[[[♥️] follow all who rt

[♣️]]]] followback
 
[[[[♦️] gain with #mgwv

[♠️][♥️] follow [♣️][♦️] @h…","['retweet', 'mgwv']",True
psychicmaiden,psychicmaiden,tweet,tue nov 01 07:46:18 +0000 2016,793358490433626112,landmark chronic fatigue trial could treat two-thirds #health  https://t.co/umzfkxy1r1,['health'],False
_fisalramos,_fisalramos,tweet,tue nov 01 07:49:20 +0000 2016,793359253805363200,كيف قيمة x ؟؟ https://t.co/hg0ivzfjy9,[],False
_fisalramos,ii3esso,reply,tue nov 01 07:51:57 +0000 2016,793359912306900993,@ii3esso لا عشان محد يشوف و يقول على عماها,[],False
kirstein_96,kirstein_96,tweet,tue nov 01 08:09:08 +0000 2016,793364236617515008,#eruri #helloween https://t.co/svlbzwwvcz,"['eruri', 'helloween']",False
