poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
gameofthrones1v,gameofthrones1v,tweet,sat oct 01 06:42:08 +0000 2016,782108318512787456,❤#gameofthrones game of thrones season 3 #dvd only #tv #series https://t.co/x6uh40s7kz https://t.co/fzsljtejvw https://t.co/ucy3owhnzt,"['gameofthrones', 'dvd', 'tv', 'series']",False
piyush9i,cyanidehumor,mentions,sat oct 01 06:42:51 +0000 2016,782108498855272450,rt @cyanidehumor: ghost whisperer😁😁😁 https://t.co/atdexl7vvk,[],True
filthysister,filthysister,tweet,sat oct 01 06:50:41 +0000 2016,782110470186627072,forgot how good it was when the stark banners fell back down at winterfell. what a moment. #recap #gameofthrones,"['recap', 'gameofthrones']",False
dianacouto2,daenerys,mentions,sat oct 01 06:52:44 +0000 2016,782110986111254528,rt @daenerys: https://t.co/s4plxl45l0,[],True
superkaeee,minminnay,mentions,sat oct 01 07:01:23 +0000 2016,782113162938068992,rt @minminnay: ยอดขายของแบรนด์น้ำแร่ samdasoo ที่แทยอนเป็นพรีเซ็นเตอร์ ยอดขายพุ่งสู่ 31 พันล้านวอน // นึกว่าจะเปลี่ยนหัวทู้ให้บ้าง https://…,[],True
nekoqueenz,moomanoww,mentions,sat oct 01 07:10:56 +0000 2016,782115566278447104,"rt @moomanoww: หากวันหนึ่งความรักพูดได้ คิดว่าความรักอยากจะบอกอะไรกับคุณ?

อีโง่",[],True
tanmay_ayush,loyalstalker,mentions,sat oct 01 07:12:42 +0000 2016,782116010879049728,rt @loyalstalker: ha ha ha ha *statutory warning*. #familymadness #snapchat ....... but it's hysterical 😂😂😂😂 https://t.co/8cekdaukv7,"['familymadness', 'snapchat']",True
greenmanjae01_,minminnay,mentions,sat oct 01 07:14:16 +0000 2016,782116405122510848,rt @minminnay: ทำไมถึงพูดว่าให้เกียรติพื้นที่ส่วนตัวของคุณด้วยในเมื่อเล่นตั้งสถานะโพส์เป็นสาธารณะแบบนั้น มันส่วนตัวตรงไหนหรอ #รณกรมารยาทมีไ…,[],True
heylabradoodle,heylabradoodle,tweet,sat oct 01 07:31:26 +0000 2016,782120725255716864,tak strasznie łzawią mi oczy god why,[],False
iy01gnag06iymdq,_petricor_,mentions,sat oct 01 07:34:21 +0000 2016,782121459275669504,"rt @_petricor_: ДЛ; Хей, детка, я теперь брюнетка, бежать бессмысленно я стреляю метко https://t.co/ekjnbhhfzl",[],True
taissawau,taissawau,tweet,sat oct 01 07:54:05 +0000 2016,782126425327493120,#ЯОбожаюТвиттерПотомуЧто здесь очень добрые люди🤗💝,['ЯОбожаюТвиттерПотомуЧто'],False
prince_mojo_,prince_mojo_,tweet,sat oct 01 08:12:36 +0000 2016,782131085186596864,wild thing: emmy rossum rocked an extra stylish animal print dress for dinner at catch la in los angeles on friday https://t.co/yx0ngihgzh,[],False
depressprince,_king_asshole_,reply,sat oct 01 08:15:06 +0000 2016,782131714336419840,@_king_asshole_ на тебя похож)0,[],False
sweetanki4192,sabkilengayab,mentions,sat oct 01 08:18:26 +0000 2016,782132553209839616,"rt @sabkilengayab: salman khan has contacts with under-world since last 15 years, nobody dares to question this criminal. arnab rip hi… ",[],True
akwohaib,abdulllahlfc,reply,sat oct 01 08:28:49 +0000 2016,782135166252814336,@abdulllahlfc وضع الليفربوليين وانا منهم 😂 https://t.co/5ssyp70hfi,[],False
devang21_,art_lover_09,mentions,sat oct 01 08:32:33 +0000 2016,782136105772593152,"rt @art_lover_09: ""i don`t know... let`s yahoo it!"" - said by no one, ever.",[],True
gameofthrones1v,gameofthrones1v,tweet,sat oct 01 08:33:06 +0000 2016,782136244213944320,#gameofthrones #fit best weight loss supplements that work https://t.co/pbh7yjvfmr game of thrones,"['gameofthrones', 'fit']",False
beachhouse__,lordsnow,mentions,sat oct 01 08:45:13 +0000 2016,782139293447942147,"rt @lordsnow: ""the starks are always right eventually."" https://t.co/mgjywaaemb",[],True
nashj648,gameofthrones,mentions,sat oct 01 09:00:40 +0000 2016,782143181576146944,rt @gameofthrones: 5 more weeks. rally the realm. http://t.co/zol46rbuf1 #gotseason5,['gotseason5'],True
im_not_crying,lienship,reply,sat oct 01 09:06:25 +0000 2016,782144628623548417,@lienship утра,[],False
im_not_crying,dudko_yana,reply,sat oct 01 09:12:07 +0000 2016,782146063041982464,@dudko_yana кого?,[],False
christi63024990,dancegoai,mentions,sat oct 01 09:16:59 +0000 2016,782147287816560640,"rt @dancegoai: please just look me in my face, tell me everything's okay 🎤
choreography: @janelleginestra https://t.co/ovrlsjg9gr",[],True
christi63024990,janelleginestra,mentions,sat oct 01 09:16:59 +0000 2016,782147287816560640,"rt @dancegoai: please just look me in my face, tell me everything's okay 🎤
choreography: @janelleginestra https://t.co/ovrlsjg9gr",[],True
ananas72797626,ananas72797626,tweet,sat oct 01 09:17:14 +0000 2016,782147350718451714,"Мамка постирала нормальные джинсы и я должен идти гулять, а потом и в художку в розовых",[],False
_badkidsejal_,queenlightwoods,mentions,sat oct 01 09:19:49 +0000 2016,782148000827183104,rt @queenlightwoods: trying too look for the point in the felicity boyfriend storyline https://t.co/utlxvqrf7e,[],True
masg66,bimmerella,mentions,sat oct 01 09:22:34 +0000 2016,782148692870504448,"rt @bimmerella: if you donate to trump, you're getting screwed.  you're putting $$ in his pocket.
#trumpisanabuser of your trust! 😠
https:/…",['trumpisanabuser'],True
evaggelinamyr,evaggelinamyr,tweet,sat oct 01 09:34:29 +0000 2016,782151691823157248,"your royal highness allow me to say that your loyal mignions will be there to support you
*curtsies* https://t.co/h8jplpqwqf",[],False
southmade_,southmade_,tweet,sat oct 01 09:34:55 +0000 2016,782151800883326976,i'm daenerys. discover which #gameofthrones character you are! sign in: https://t.co/veulh3t81g https://t.co/rm73q8a2jd,['gameofthrones'],False
top_lizzy_grand,top_lizzy_grand,tweet,sat oct 01 09:37:29 +0000 2016,782152446772740096,Собираюсь на прогулку с бест френдами💕,[],False
tintin607,minminnay,mentions,sat oct 01 09:49:22 +0000 2016,782155437311266816,rt @minminnay: ยอดขายของแบรนด์น้ำแร่ samdasoo ที่แทยอนเป็นพรีเซ็นเตอร์ ยอดขายพุ่งสู่ 31 พันล้านวอน // นึกว่าจะเปลี่ยนหัวทู้ให้บ้าง https://…,[],True
depressprince,depressprince,reply,sat oct 01 09:52:35 +0000 2016,782156246820462592,@depressprince *кожаный,[],False
tan_sugartan,joke_jaith,mentions,sat oct 01 09:56:41 +0000 2016,782157278619185152,rt @joke_jaith: หนุ่มนักศึกษาเอากางเกงขายาวของเขาให้เพื่อนนักศึกษาหญิงใส่เข้าสอบหลังเธอลืมเอามาเปลี่ยน ส่วนตัวเองใส่กางเกงสั้นเสมอ… ,[],True
tan_sugartan,tan_sugartan,tweet,sat oct 01 10:01:49 +0000 2016,782158570473218048,ทำไมตื่นเต้นเนี้ยยย โซชิจะมาแล้วว,[],False
nika_nika666,alenayryr,reply,sat oct 01 10:06:41 +0000 2016,782159795193339904,@alenayryr что за сериал?,[],False
penguinxr,penguinxr,tweet,sat oct 01 10:08:35 +0000 2016,782160273360711680,"Оставьте Кева, пожалуйста . Че опять его кинут((( https://t.co/s5e99xbwvc",[],False
arishank2013,ananasech,mentions,sat oct 01 10:14:45 +0000 2016,782161825261649920,rt @ananasech: ( https://t.co/80smu5d3w4,[],True
mnnrd_,minminnay,mentions,sat oct 01 10:23:48 +0000 2016,782164102768496640,rt @minminnay: ทำไมถึงพูดว่าให้เกียรติพื้นที่ส่วนตัวของคุณด้วยในเมื่อเล่นตั้งสถานะโพส์เป็นสาธารณะแบบนั้น มันส่วนตัวตรงไหนหรอ #รณกรมารยาทมีไ…,[],True
cb5azv,t_clark71,mentions,sat oct 01 10:30:01 +0000 2016,782165667218939904,rt @t_clark71: revenge is never as sweet as it is on #gameofthrones,['gameofthrones'],True
aomamana,tarek_abdrabo,mentions,sat oct 01 10:36:08 +0000 2016,782167206532554753,rt @tarek_abdrabo: #gameofthrones #got &lt;3 https://t.co/8knggg43jc,"['gameofthrones', 'got']",True
twdlannister,_lm_g_w_vl_,mentions,sat oct 01 10:43:39 +0000 2016,782169098163785728,"rt @_lm_g_w_vl_: @m_g_w_v

ＲＥＴＷＥＥＴ

       ＡＮＤ

 ＦＯＬＬＯＷ

༺•☾✭☽•༻
     #ＭＧＷＶ
༺•☾✭☽•༻

@jaderpierre
@boo_bear_hugs_
@derricktopaz
@thatsmgwv",['ＭＧＷＶ'],True
twdlannister,m_g_w_v,mentions,sat oct 01 10:43:39 +0000 2016,782169098163785728,"rt @_lm_g_w_vl_: @m_g_w_v

ＲＥＴＷＥＥＴ

       ＡＮＤ

 ＦＯＬＬＯＷ

༺•☾✭☽•༻
     #ＭＧＷＶ
༺•☾✭☽•༻

@jaderpierre
@boo_bear_hugs_
@derricktopaz
@thatsmgwv",['ＭＧＷＶ'],True
twdlannister,jaderpierre,mentions,sat oct 01 10:43:39 +0000 2016,782169098163785728,"rt @_lm_g_w_vl_: @m_g_w_v

ＲＥＴＷＥＥＴ

       ＡＮＤ

 ＦＯＬＬＯＷ

༺•☾✭☽•༻
     #ＭＧＷＶ
༺•☾✭☽•༻

@jaderpierre
@boo_bear_hugs_
@derricktopaz
@thatsmgwv",['ＭＧＷＶ'],True
twdlannister,boo_bear_hugs_,mentions,sat oct 01 10:43:39 +0000 2016,782169098163785728,"rt @_lm_g_w_vl_: @m_g_w_v

ＲＥＴＷＥＥＴ

       ＡＮＤ

 ＦＯＬＬＯＷ

༺•☾✭☽•༻
     #ＭＧＷＶ
༺•☾✭☽•༻

@jaderpierre
@boo_bear_hugs_
@derricktopaz
@thatsmgwv",['ＭＧＷＶ'],True
twdlannister,derricktopaz,mentions,sat oct 01 10:43:39 +0000 2016,782169098163785728,"rt @_lm_g_w_vl_: @m_g_w_v

ＲＥＴＷＥＥＴ

       ＡＮＤ

 ＦＯＬＬＯＷ

༺•☾✭☽•༻
     #ＭＧＷＶ
༺•☾✭☽•༻

@jaderpierre
@boo_bear_hugs_
@derricktopaz
@thatsmgwv",['ＭＧＷＶ'],True
